mintel_index,mintel_company,ultimate_company,compustat_conm,cosine_score,entityOne,entityTwo,Answer,Explanation
189,Briska,Briska,BRISTOL-MYERS SQUIBB CO,0.2720454825424976,Briska | Briska,BRISTOL-MYERS SQUIBB CO,No,"Briska is not known to be a brand or subsidiary of Bristol-Myers Squibb Co., and they appear to be distinct entities."
190,GapBody,GapBody,GAP INC,0.6461227013975472,GapBody | GapBody,GAP INC,Yes,"GapBody is a brand owned by GAP INC, making them part of the same corporate structure."
191,Coca-Cola Bottling,The Coca-Cola Company,COCA-COLA CO,0.6849600808858132,Coca-Cola Bottling | The Coca-Cola Company,COCA-COLA CO,Yes,"Coca-Cola Bottling refers to entities involved in the production and distribution of Coca-Cola beverages, often linked to The Coca-Cola Company, which owns the Coca-Cola brand. COCA-COLA CO is another reference to The Coca-Cola Company, indicating they are connected under the same corporate framework."
192,Oskar Blue Brewery,Oskar Blue Brewery,MOLSON COORS BEVERAGE CO,0.4325386675852655,Oskar Blue Brewery | Oskar Blue Brewery,MOLSON COORS BEVERAGE CO,No,"Oskar Blues Brewery is a craft beer brand owned by CANarchy Craft Brewery Collective, which was acquired by Monster Beverage Corporation, not Molson Coors Beverage Co."
193,Hershey Import,Hershey,HERSHEY CO,0.6872653732139279,Hershey Import | Hershey,HERSHEY CO,Yes,"Hershey Import is likely a division or subsidiary related to the Hershey Company, which is a well-known corporation that produces and markets confections and snacks under the Hershey brand."
194,Glad Products Company,Glad Products,PROCTER & GAMBLE CO,0.4326958013468917,Glad Products Company | Glad Products,PROCTER & GAMBLE CO,No,"Glad Products Company is primarily associated with The Clorox Company, not Procter & Gamble, which is a separate entity known for its own range of consumer goods."
195,Ace Bakery,George Weston,WESTON (GEORGE) LTD,0.6112512717111559,Ace Bakery | George Weston,WESTON (GEORGE) LTD,Yes,"Ace Bakery is a brand under George Weston Limited, which is often referred to as Weston (George) Ltd. They are part of the same corporate group."
196,Quo,George Weston,WESTON (GEORGE) LTD,0.5906161341460417,Quo | George Weston,WESTON (GEORGE) LTD,No,"George Weston Limited is a distinct Canadian company, while Quo is a private-label brand sold by Shoppers Drug Mart (a subsidiary of Loblaw Companies Limited, which is controlled by George Weston Limited). However, there is no direct entity named 'Quo | George Weston' that owns or is owned by George Weston Limited."
197,Nordstrom,Nordstrom,NORDSTROM INC,0.7352979403643314,Nordstrom | Nordstrom,NORDSTROM INC,Yes,"Nordstrom is the brand name and NORDSTROM INC is the legal name of the company, referring to the same corporate entity."
198,Aventis Pharma,Sanofi,SANOFI,0.7500058588191245,Aventis Pharma | Sanofi,SANOFI,Yes,"Sanofi is the parent company, and Aventis Pharma is part of Sanofi after their merger and acquisition activities."
199,Peloponnese,Hormel Foods,HORMEL FOODS CORP,0.573446279540442,Peloponnese | Hormel Foods,HORMEL FOODS CORP,Yes,"Hormel Foods is the parent company, and Peloponnese is one of its brands. Both entities are connected to Hormel Foods Corporation."
200,Dolgencorp / Dollar General Corporation,Dolgencorp / Dollar General Corporation,DOLLAR GENERAL CORP,0.7705713146195781,Dolgencorp / Dollar General Corporation | Dolgencorp / Dollar General Corporation,DOLLAR GENERAL CORP,Yes,"Both entities refer to Dollar General Corporation, which owns the Dolgencorp subsidiary."
201,Canandaigua Wine,Constellation Brands,CONSTELLATION BRANDS,0.6895912855445187,Canandaigua Wine | Constellation Brands,CONSTELLATION BRANDS,Yes,"Canandaigua Wine is part of Constellation Brands, indicating a parent-subsidiary or brand relationship."
202,H.B. Reese Candy,Hershey,HERSHEY CO,0.6763470714174717,H.B. Reese Candy | Hershey,HERSHEY CO,Yes,H.B. Reese Candy is a subsidiary of The Hershey Company. The Hershey Company owns the Reese's brand.
203,Kraft Freia Marabou,Mondelez International,MONDELEZ INTERNATIONAL INC,0.6438892260703336,Kraft Freia Marabou | Mondelez International,MONDELEZ INTERNATIONAL INC,Yes,"Kraft Freia Marabou is a brand under Mondelez International, and Mondelez International Inc. refers to the parent company."
204,Disney Store,Disney Store,DISNEY (WALT) CO,0.4922584952646498,Disney Store | Disney Store,DISNEY (WALT) CO,Yes,Disney Store is a retail brand owned by The Walt Disney Company.
205,Delaware Punch,The Coca-Cola Company,COCA-COLA CO,0.5085169099993552,Delaware Punch | The Coca-Cola Company,COCA-COLA CO,Yes,"Delaware Punch is a brand owned by The Coca-Cola Company, which is also referred to as COCA-COLA CO."
206,Square Roots,ConAgra Foods,CONAGRA BRANDS INC,0.6365228682065683,Square Roots | ConAgra Foods,CONAGRA BRANDS INC,No,"ConAgra Foods and ConAgra Brands Inc. are the same entity, but there is no evidence that Square Roots is associated with ConAgra Foods or ConAgra Brands Inc."
207,Canadaigua Wine,Canadaigua Wine,CONSTELLATION BRANDS,0.423010194803648,Canadaigua Wine | Canadaigua Wine,CONSTELLATION BRANDS,Yes,"Canandaigua Wine is a subsidiary of Constellation Brands, which is the parent company."
208,Robert Mondavi,Constellation Brands,CONSTELLATION BRANDS,0.6779356294711302,Robert Mondavi | Constellation Brands,CONSTELLATION BRANDS,Yes,Robert Mondavi is a brand owned by Constellation Brands.
209,Foodhold,Ahold Delhaize,KONINKLIJKE AHOLD DELHAIZE,0.7233851805466032,Foodhold | Ahold Delhaize,KONINKLIJKE AHOLD DELHAIZE,Yes,"Foodhold and Ahold Delhaize is a brand/company under the parent company Koninklijke Ahold Delhaize, known for operating supermarkets and other retail outlets."
210,Duane Reade,Walgreens Boots Alliance,WALGREENS BOOTS ALLIANCE INC,0.6783646430647933,Duane Reade | Walgreens Boots Alliance,WALGREENS BOOTS ALLIANCE INC,Yes,"Walgreens Boots Alliance Inc. is the parent company of the Duane Reade brand, making them part of the same corporate structure."
211,McKesson,McKesson,MCKESSON CORP,0.7508919930801932,McKesson | McKesson,MCKESSON CORP,Yes,"Both entities refer to McKesson Corporation, a well-known American company in the healthcare industry."
212,General Biscuits,Mondelez International,MONDELEZ INTERNATIONAL INC,0.6833746156576114,General Biscuits | Mondelez International,MONDELEZ INTERNATIONAL INC,Yes,"General Biscuits is a brand that is part of Mondelez International, and both refer to the same overarching company, Mondelez International Inc."
213,Pepsi/Lipton Tea Partnership,PepsiCo,PEPSICO INC,0.5844748709769475,Pepsi/Lipton Tea Partnership | PepsiCo,PEPSICO INC,Yes,"The Pepsi/Lipton Tea Partnership is a joint venture involving PepsiCo, and PEPSICO INC refers to the parent company PepsiCo. Therefore, they are related."
214,Ridg's Finer Foods Canada,Ridg's Finer Foods Canada,LOBLAW COS LTD,0.4629673865085048,Ridg's Finer Foods Canada | Ridg's Finer Foods Canada,LOBLAW COS LTD,Yes,Ridg's Finer Foods Canada is a brand owned by Loblaws Companies Limited.
215,Baxter Healthcare,Baxter Healthcare,BAXTER INTERNATIONAL INC,0.7171472994473072,Baxter Healthcare | Baxter Healthcare,BAXTER INTERNATIONAL INC,Yes,"Baxter International Inc. is the parent company, and Baxter Healthcare is a subsidiary or operational division under Baxter International. Both entities refer to the same corporate structure."
216,Mills,Mills,GENERAL MILLS INC,0.4808105286261558,Mills | Mills,GENERAL MILLS INC,Yes,"Mills | Mills appears to be a reference or shortened form of General Mills Inc., which is a well-known multinational corporation. It is common for company names to be abbreviated or shortened in informal contexts."
217,Vendange Wine Cellars,Constellation Brands,CONSTELLATION BRANDS,0.6777327609819396,Vendange Wine Cellars | Constellation Brands,CONSTELLATION BRANDS,Yes,"Vendange Wine Cellars is a brand under Constellation Brands, which owns various wine labels. Therefore, both entities are related to the same parent company, Constellation Brands."
218,Casey's General Stores,Casey's General Stores,CASEYS GENERAL STORES INC,0.8024502910482467,Casey's General Stores | Casey's General Stores,CASEYS GENERAL STORES INC,Yes,"Both entity names refer to the same company, Casey's General Stores, which is also known in its corporate form as CASEYS GENERAL STORES INC."
219,Michael Kors Fragrances,Este Lauder,ESTEE LAUDER COMPANIES INC,0.547906328112081,Michael Kors Fragrances | Este Lauder,ESTEE LAUDER COMPANIES INC,Yes,"Michael Kors Fragrances is part of The Estée Lauder Companies Inc., as Estee Lauder owns a licensing agreement for Michael Kors brand fragrances."
220,QVC,QVC,QURATE RETAIL INC,0.5455577301896608,QVC | QVC,QURATE RETAIL INC,Yes,"QVC is a subsidiary of Qurate Retail Inc., as Qurate is the parent company that owns QVC along with other retail brands."
221,One Better,One Better,ONE GAS INC,0.2767669391556026,One Better | One Better,ONE GAS INC,No,There is no evident parent-subsidiary or brand relationship between 'One Better | One Better' and 'ONE GAS INC.' They appear to be distinct entities.
222,Jelmar,Jelmar,CLOROX CO/DE,0.3870024531196156,Jelmar | Jelmar,CLOROX CO/DE,No,"Jelmar is a separate company known for products like CLR and Tarn-X, whereas CLOROX CO/DE is a different company known for its bleach and cleaning products. There is no parent-subsidiary or brand relationship between them."
223,Quaker Foods & Beverages,PepsiCo,PEPSICO INC,0.578990786908324,Quaker Foods & Beverages | PepsiCo,PEPSICO INC,Yes,"Quaker Foods & Beverages is a division of PepsiCo, and both names refer to the same corporate entity, with Quaker Foods being a part of PEPSICO INC."
224,Interex,Interex,INTERXION HOLDING NV,0.5354000824323475,Interex | Interex,INTERXION HOLDING NV,No,Interex and Interxion Holding NV are distinct entities with no known parent-subsidiary or brand relationship between them.
225,Small Planet Foods,General Mills,GENERAL MILLS INC,0.6173702761001176,Small Planet Foods | General Mills,GENERAL MILLS INC,Yes,"Small Planet Foods is a division of General Mills, and General Mills Inc is the parent company. Therefore, both entities are related under the General Mills corporate structure."
226,Ste Maure,Ste Maure,SAPUTO INC,0.2815639297904954,Ste Maure | Ste Maure,SAPUTO INC,Yes,"Ste Maure is a cheese brand that is owned by Saputo Inc., a well-known dairy company."
227,Rougette de Brigham,Rougette de Brigham,SAPUTO INC,0.3089309026876964,Rougette de Brigham | Rougette de Brigham,SAPUTO INC,No,"Rougette de Brigham is a specific cheese brand, whereas Saputo Inc. is a major dairy company. There is no direct indication that Rougette de Brigham is owned or affiliated with Saputo Inc. based on this information."
228,Boulangerie Premiere Moisson,Boulangerie Premiere Moisson,METRO INC,0.4038645102043436,Boulangerie Premiere Moisson | Boulangerie Premiere Moisson,METRO INC,Yes,"Boulangerie Première Moisson is a brand owned by METRO INC, a large food retailer in Canada. Thus, there is a parent-subsidiary relationship."
229,Weston Bakeries,George Weston,WESTON (GEORGE) LTD,0.6398094290739519,Weston Bakeries | George Weston,WESTON (GEORGE) LTD,Yes,"Weston Bakeries is a subsidiary of George Weston Limited, and 'WESTON (GEORGE) LTD' is another way to refer to George Weston Limited."
230,Y & S Candies,Hershey,HERSHEY CO,0.6718866716416605,Y & S Candies | Hershey,HERSHEY CO,Yes,"Y & S Candies is a brand under The Hershey Company, making them related through a brand ownership relationship."
231,Clos Du Bois,Constellation Brands,CONSTELLATION BRANDS,0.6981497946968197,Clos Du Bois | Constellation Brands,CONSTELLATION BRANDS,Yes,"Clos Du Bois is a wine brand that is part of Constellation Brands' portfolio, a large alcoholic beverage company. Thus, they are related through the parent company Constellation Brands."
232,Dickenson's,Dickenson's,BECTON DICKINSON & CO,0.3991531665765949,Dickenson's | Dickenson's,BECTON DICKINSON & CO,No,"Dickenson's is not directly associated with Becton Dickinson. Becton Dickinson & Co (BD) is a global medical technology company, and there is no known brand or subsidiary named Dickenson's under BD."
233,Enjoy Life Foods,Mondelez International,MONDELEZ INTERNATIONAL INC,0.6327486152657876,Enjoy Life Foods | Mondelez International,MONDELEZ INTERNATIONAL INC,Yes,"Mondelez International is the parent company of Enjoy Life Foods, and both references are to the same overarching corporate entity."
234,Ecolab,Ecolab,ECOLAB INC,0.7822921497806934,Ecolab | Ecolab,ECOLAB INC,Yes,"Ecolab and ECOLAB INC refer to the same company, as both are common representations of the official corporate name and its shorter brand name."
235,Agrilink Foods,Agrilink Foods,LAND O'LAKES INC,0.4502902139653632,Agrilink Foods | Agrilink Foods,LAND O'LAKES INC,No,Agrilink Foods and LAND O'LAKES INC are separate entities. Agrilink Foods is not a known subsidiary or brand of Land O'Lakes.
236,Woodbridge Winery,Constellation Brands,CONSTELLATION BRANDS,0.7086175053888784,Woodbridge Winery | Constellation Brands,CONSTELLATION BRANDS,Yes,"Woodbridge Winery is a brand owned by Constellation Brands. Therefore, both entities are associated with the same parent company, Constellation Brands."
237,Jugos del Valle,The Coca-Cola Company,COCA-COLA FEMSA SAB DE CV,0.5745329338193633,Jugos del Valle | The Coca-Cola Company,COCA-COLA FEMSA SAB DE CV,Yes,"Jugos del Valle is a brand owned by The Coca-Cola Company, while COCA-COLA FEMSA is a bottling partner of The Coca-Cola Company, indicating a relationship through the Coca-Cola ecosystem."
238,Immaculate Baking,General Mills,GENERAL MILLS INC,0.579562442662251,Immaculate Baking | General Mills,GENERAL MILLS INC,Yes,"Immaculate Baking is a brand under General Mills, and GENERAL MILLS INC refers to the parent company."
239,Ermenegildo Zegna,Este Lauder,ESTEE LAUDER COMPANIES INC,0.5766584999920391,Ermenegildo Zegna | Este Lauder,ESTEE LAUDER COMPANIES INC,No,Ermenegildo Zegna is a separate company and not part of the Estée Lauder Companies Inc. They are not in a parent-subsidiary or brand relationship.
240,Overwaitea Food,Overwaitea Food,LOBLAW COS LTD,0.467164586302635,Overwaitea Food | Overwaitea Food,LOBLAW COS LTD,No,"Overwaitea Food Group is owned by the Jim Pattison Group, while Loblaws is a separate grocery company under George Weston Limited."
241,Ethel M Chocolate,Ethel M Chocolate,HERSHEY CO,0.4929031923955141,Ethel M Chocolate | Ethel M Chocolate,HERSHEY CO,Yes,"Ethel M Chocolate is a brand owned by Mars, Incorporated, not Hershey Co. Therefore, these entities do not refer to the same company or have a parent-subsidiary relationship with Hershey Co."
242,Campbell Foods,Campbell Soup,CAMPBELL SOUP CO,0.7958760204421242,Campbell Foods | Campbell Soup,CAMPBELL SOUP CO,Yes,"Campbell Foods and Campbell Soup are both associated with Campbell Soup Company, which is the parent company."
243,Dollar Tree Stores,Dollar Tree Stores,DOLLAR TREE INC,0.7525236249517328,Dollar Tree Stores | Dollar Tree Stores,DOLLAR TREE INC,Yes,"Dollar Tree Stores is a retail chain operated by its parent company, Dollar Tree Inc."
244,Progresso Quality Foods,Progresso Quality Foods,CONAGRA BRANDS INC,0.4518440255550784,Progresso Quality Foods | Progresso Quality Foods,CONAGRA BRANDS INC,No,"Progresso Quality Foods is a brand owned by General Mills, not Conagra Brands, Inc."
245,Philips Oral Healthcare,Philips Oral Healthcare,KONINKLIJKE PHILIPS NV,0.5356341974963774,Philips Oral Healthcare | Philips Oral Healthcare,KONINKLIJKE PHILIPS NV,Yes,"Philips Oral Healthcare is a brand under Koninklijke Philips NV, which is the parent company."
246,Durkee-Mower,Durkee-Mower,ARCHER-DANIELS-MIDLAND CO,0.3703432703455183,Durkee-Mower | Durkee-Mower,ARCHER-DANIELS-MIDLAND CO,No,"Durkee-Mower is an independent company known for its Marshmallow Fluff product, while Archer-Daniels-Midland Co (ADM) is a multinational food processing and commodities trading corporation. There is no known parent-subsidiary or brand relationship between the two."
247,Metro Kirkland,Metro Kirkland,METRO INC,0.5015669912868693,Metro Kirkland | Metro Kirkland,METRO INC,No,Metro Kirkland is not a known subsidiary or brand of METRO INC. and they appear to be distinct entities.
248,Black Duck,Black Duck,JIVE SOFTWARE INC,0.3116828480371275,Black Duck | Black Duck,JIVE SOFTWARE INC,No,"Black Duck is a company that provides open source management and governance solutions, while JIVE SOFTWARE INC is known for its enterprise collaboration software. There is no direct corporate or brand relationship between them."
249,Inter-American Products,Kroger,KROGER CO,0.5606365650479045,Inter-American Products | Kroger,KROGER CO,Yes,"Inter-American Products is a subsidiary or private label brand owned by The Kroger Co., so both entities are related under the same corporate umbrella."
250,Kohl's Department Stores,Kohl's Department Stores,KOHL'S CORP,0.72969086200531,Kohl's Department Stores | Kohl's Department Stores,KOHL'S CORP,Yes,"Kohl's Department Stores is a part of Kohl's Corporation, which is the parent company of the Kohl's retail brand."
251,Disney boom!,Disney boom!,DISNEY (WALT) CO,0.4450864722779302,Disney boom! | Disney boom!,DISNEY (WALT) CO,Yes,"Disney (Walt) Co is the parent company of various Disney brands, and it's likely that Disney boom! is a subsidiary or specific division within the broader Disney corporation."
252,Ojon,Este Lauder,ESTEE LAUDER COMPANIES INC,0.5385147007550304,Ojon | Este Lauder,ESTEE LAUDER COMPANIES INC,Yes,"Ojon is a brand owned by Estée Lauder Companies Inc., thus referring to the same corporate entity and brand relationship."
253,Jarden,Jarden,NEWELL BRANDS INC,0.4359160105712342,Jarden | Jarden,NEWELL BRANDS INC,Yes,Jarden is a subsidiary of Newell Brands Inc. Newell acquired Jarden Corporation in 2016 and rebranded as Newell Brands.
254,Whirlpool,Whirlpool,WHIRLPOOL CORP,0.6927596611304211,Whirlpool | Whirlpool,WHIRLPOOL CORP,Yes,WHIRLPOOL CORP is the full name of the company commonly known as Whirlpool. They refer to the same company.
255,Fireside Baking,Fireside Baking,GENERAL MILLS INC,0.2972814722478784,Fireside Baking | Fireside Baking,GENERAL MILLS INC,No,There is no publicly known relationship or ownership between Fireside Baking and General Mills Inc.
256,Oral-B Laboratories,Procter & Gamble,PROCTER & GAMBLE CO,0.6112227288346386,Oral-B Laboratories | Procter & Gamble,PROCTER & GAMBLE CO,Yes,"Oral-B is a brand that is owned by Procter & Gamble, so both entities are part of the Procter & Gamble company structure."
257,Advanced Healthcare Distributors,CVS Health,CVS HEALTH CORP,0.6215047412938941,Advanced Healthcare Distributors | CVS Health,CVS HEALTH CORP,Yes,"CVS Health is the parent company of Advanced Healthcare Distributors, and CVS HEALTH CORP is an abbreviated name for the corporation."
258,Allan Candy,The Hershey Company,HERSHEY CO,0.5997634012805295,Allan Candy | The Hershey Company,HERSHEY CO,Yes,"The Hershey Company acquired the Allan Candy Company, making Allan Candy a subsidiary or a brand of The Hershey Company. Both entities are thus related to The Hershey Company."
259,Sysco,Sysco,SYSCO CORP,0.7568854786725009,Sysco | Sysco,SYSCO CORP,Yes,"Both names refer to the same company, Sysco Corporation, which is commonly known as Sysco."
260,The Folgers Coffee Company,J.M. Smucker,SMUCKER (JM) CO,0.6188377785536694,The Folgers Coffee Company | J.M. Smucker,SMUCKER (JM) CO,Yes,The Folgers Coffee Company is a brand under the J.M. Smucker Company. 'SMUCKER (JM) CO' refers to the J.M. Smucker Company itself.
261,American Beauty Cosmetics,Este Lauder,ESTEE LAUDER COMPANIES INC,0.6318655240850055,American Beauty Cosmetics | Este Lauder,ESTEE LAUDER COMPANIES INC,Yes,"Estee Lauder Companies Inc. is the parent company of Estee Lauder and its various brands, which could include a brand like American Beauty Cosmetics."
262,Good Skin Dermcare,Este Lauder,ESTEE LAUDER COMPANIES INC,0.5632182765495017,Good Skin Dermcare | Este Lauder,ESTEE LAUDER COMPANIES INC,Yes,"Estee Lauder Companies Inc. is the parent company of several cosmetic brands, and 'Este Lauder' likely refers to one of its brands or possibly a shorthand for the company itself. Therefore, they are related through brand ownership."
263,TSD Sales and Distribution,TSD Sales and Distribution,VENTAS INC,0.3956680785180573,TSD Sales and Distribution | TSD Sales and Distribution,VENTAS INC,No,There is no publicly known parent-subsidiary or brand relationship between TSD Sales and Distribution and VENTAS INC as of the latest available data.
264,Multifoods Brands,Multifoods Brands,CONAGRA BRANDS INC,0.548528783914659,Multifoods Brands | Multifoods Brands,CONAGRA BRANDS INC,No,Multifoods Brands and Conagra Brands Inc. do not share a parent-subsidiary or brand relationship as per current corporate disclosures.
265,Janssen Cosmeceuticals,Janssen Cosmeceuticals,JOHNSON & JOHNSON,0.4790605430316992,Janssen Cosmeceuticals | Janssen Cosmeceuticals,JOHNSON & JOHNSON,Yes,"Janssen Cosmeceuticals is a brand owned by Johnson & Johnson, which operates several subsidiaries and brands in pharmaceuticals and consumer products."
266,Hershey Creamery,The Hershey Company,HERSHEY CO,0.6960403519960928,Hershey Creamery | The Hershey Company,HERSHEY CO,No,"Hershey Creamery is a separate company from The Hershey Company. The Hershey Company, also referred to as Hershey Co, is a major chocolate manufacturer, while Hershey Creamery is an ice cream manufacturer with no corporate relationship to Hershey Co."
267,Naked Juice,PepsiCo,PEPSICO INC,0.5619413519617947,Naked Juice | PepsiCo,PEPSICO INC,Yes,"Naked Juice is a brand owned by PepsiCo, Inc. Therefore, both entities are related through the parent company, PepsiCo."
268,Matte Leao North America,Matte Leao North America,AMBEV SA,0.3223526324576339,Matte Leao North America | Matte Leao North America,AMBEV SA,Yes,"Matte Leao is a brand owned by The Coca-Cola Company, and AMBEV SA is a major shareholder in the region through its association with The Coca-Cola system."
269,Hoover,Maytag,WHIRLPOOL CORP,0.5175130949070887,Hoover | Maytag,WHIRLPOOL CORP,Yes,"Whirlpool Corporation owns the Maytag brand, which includes Hoover appliances."
270,Miller Brewing,Molson Coors Brewing,MOLSON COORS BEVERAGE CO,0.7425743525290562,Miller Brewing | Molson Coors Brewing,MOLSON COORS BEVERAGE CO,Yes,"Miller Brewing is part of Molson Coors Brewing, and Molson Coors Brewing is the same company as MOLSON COORS BEVERAGE CO, just under different branding or naming conventions."
271,Ecolab Inc.,Ecolab Inc.,ECOLAB INC,0.8319073541665435,Ecolab Inc. | Ecolab Inc.,ECOLAB INC,Yes,"Both names refer to Ecolab Inc., differing only in capitalization which does not indicate a separate entity."
272,Flirt Productions,Este Lauder,ESTEE LAUDER COMPANIES INC,0.558640219183792,Flirt Productions | Este Lauder,ESTEE LAUDER COMPANIES INC,Yes,"Flirt Productions is a brand under the Estee Lauder Companies Inc., which is its parent company."
273,Zico,The Coca-Cola Company,COCA-COLA CO,0.6109211022424623,Zico | The Coca-Cola Company,COCA-COLA CO,Yes,"Zico is a brand owned by The Coca-Cola Company, which is also commonly referred to as COCA-COLA CO."
274,Bayer,Bayer,BAYER AG,0.7960020706793888,Bayer | Bayer,BAYER AG,Yes,"Bayer is a global company, and BAYER AG is its official corporate name. They refer to the same entity, with BAYER AG being the full legal name."
275,Dairyland Fluid Division,Dairyland Fluid Division,LAND O'LAKES INC,0.5175873778114182,Dairyland Fluid Division | Dairyland Fluid Division,LAND O'LAKES INC,Yes,"Dairyland Fluid Division is a part of Land O'Lakes, Inc., making them under the same corporate umbrella."
276,Brookside Fruit,Hershey,HERSHEY CO,0.6035367179799351,Brookside Fruit | Hershey,HERSHEY CO,Yes,"Brookside Fruit is a brand owned by The Hershey Company, established through Hershey's acquisition of Brookside Foods Ltd., and the entities are connected through brand ownership."
277,Armor All Products,Armor All Products,SHERWIN-WILLIAMS CO,0.3310424156756245,Armor All Products | Armor All Products,SHERWIN-WILLIAMS CO,No,Armor All Products is associated with car care products whereas Sherwin-Williams is primarily known for paints and coatings. There is no direct parent-subsidiary or brand relationship between them.
278,William Neilson,William Neilson,NEWELL BRANDS INC,0.3186810534506724,William Neilson | William Neilson,NEWELL BRANDS INC,No,"William Neilson is a Canadian dairy company, whereas Newell Brands Inc is an American company that manufactures consumer and commercial products. They are not related."
279,Rembrandt Oral Care Products,Johnson & Johnson,JOHNSON & JOHNSON,0.5559760799381864,Rembrandt Oral Care Products | Johnson & Johnson,JOHNSON & JOHNSON,Yes,Rembrandt Oral Care Products is a brand owned by Johnson & Johnson.
280,Kelsen Bisca,Campbell Soup,CAMPBELL SOUP CO,0.6617384625836963,Kelsen Bisca | Campbell Soup,CAMPBELL SOUP CO,Yes,"Kelsen Bisca is a brand under the Campbell Soup Company, which suggests a parent-subsidiary or brand relationship between the two entities."
281,Weston Foodservice,Weston Foodservice,WESTON (GEORGE) LTD,0.6564690712864656,Weston Foodservice | Weston Foodservice,WESTON (GEORGE) LTD,Yes,"Weston Foodservice is a part of the larger George Weston Limited, which is a major Canadian food processing and distribution company. George Weston Limited operates various divisions and subsidiaries, including foodservice under its portfolio."
282,Kingsford Products,Kingsford Products,CONAGRA BRANDS INC,0.4012577238795968,Kingsford Products | Kingsford Products,CONAGRA BRANDS INC,No,"Kingsford Products is owned by The Clorox Company, whereas Conagra Brands Inc. is a separate company involved in packaged foods."
283,Gelit,ConAgra Foods,CONAGRA BRANDS INC,0.6629338556779832,Gelit | ConAgra Foods,CONAGRA BRANDS INC,Yes,ConAgra Foods rebranded itself as Conagra Brands Inc. Gelit is a subsidiary that is part of Conagra Brands Inc.
284,King Soopers,Kroger,KROGER CO,0.6752585132921266,King Soopers | Kroger,KROGER CO,Yes,"King Soopers is a supermarket brand owned by Kroger Co., indicating a parent-subsidiary relationship."
285,Wal-Mart,Wal-Mart,WALMART INC,0.7271933389272207,Wal-Mart | Wal-Mart,WALMART INC,Yes,"Wal-Mart is a variation of the name Walmart Inc., which is the parent company."
286,3 Blind Moose Cellers,Constellation Brands,CONSTELLATION BRANDS,0.6316668975555695,3 Blind Moose Cellers | Constellation Brands,CONSTELLATION BRANDS,Yes,3 Blind Moose Cellers is a brand owned by Constellation Brands.
287,Sam's West,Wal-Mart,WALMART INC,0.591526739772714,Sam's West | Wal-Mart,WALMART INC,Yes,"Sam's West is a subsidiary of Walmart Inc., which operates Sam's Club. Wal-Mart and Walmart Inc. refer to the same parent company, indicating a direct connection."
288,ExxonMobil,ExxonMobil,EXXON MOBIL CORP,0.7313753011969144,ExxonMobil | ExxonMobil,EXXON MOBIL CORP,Yes,"ExxonMobil and EXXON MOBIL CORP refer to the same corporate entity, as EXXON MOBIL CORP is the full legal name of the company known as ExxonMobil."
289,Superstore Deli,Superstore Deli,LOBLAW COS LTD,0.4568016496827368,Superstore Deli | Superstore Deli,LOBLAW COS LTD,Yes,"Superstore Deli is a brand or subsidiary under Loblaw Companies Limited, which owns various retail brands and deli sections within their stores."
290,Ge-la-to,General Mills,GENERAL MILLS INC,0.592661970295838,Ge-la-to | General Mills,GENERAL MILLS INC,Yes,"General Mills Inc is the full legal name of the company often referred to simply as General Mills. Gelato may be a brand or product under General Mills, but both entities are related to the same corporate entity."
291,Mill Street Brewery,Mill Street Brewery,MOLSON COORS BEVERAGE CO,0.521137557416099,Mill Street Brewery | Mill Street Brewery,MOLSON COORS BEVERAGE CO,Yes,"Mill Street Brewery is owned by Molson Coors Beverage Company, making them part of the same corporate structure."
292,Saag's Products,Saag's Products,SAPUTO INC,0.3914106745493875,Saag's Products | Saag's Products,SAPUTO INC,Yes,"Saag's Products is a brand owned by Saputo Inc, a large multinational cheese and dairy producer."
293,Ambev,Anheuser-Busch InBev,AMBEV SA,0.8134272663913116,Ambev | Anheuser-Busch InBev,AMBEV SA,Yes,"AMBEV SA is a Brazilian subsidiary of Anheuser-Busch InBev, operating under the Ambev name."
294,BD Consumer Healthcare,BD Consumer Healthcare,BECTON DICKINSON & CO,0.603219556403696,BD Consumer Healthcare | BD Consumer Healthcare,BECTON DICKINSON & CO,Yes,"BD Consumer Healthcare is part of Becton Dickinson & Co, which uses the abbreviation 'BD' as part of its brand identity."
295,Southern Tier Brewing,Southern Tier Brewing,CONSTELLATION BRANDS,0.4668952505547981,Southern Tier Brewing | Southern Tier Brewing,CONSTELLATION BRANDS,No,"Southern Tier Brewing is not owned by Constellation Brands. Constellation Brands owns different alcoholic beverage brands, whereas Southern Tier Brewing is part of Artisanal Brewing Ventures."
296,Dover Finishing Products,Dover Finishing Products,DOVER CORP,0.6108799987853308,Dover Finishing Products | Dover Finishing Products,DOVER CORP,Yes,"Dover Finishing Products is likely a subsidiary or brand under the parent company Dover Corp, which is known for having multiple businesses under its umbrella."
297,Laura Secord,Laura Secord,LOBLAW COS LTD,0.3489477530441043,Laura Secord | Laura Secord,LOBLAW COS LTD,No,"Laura Secord and LOBLAW COS LTD are distinct entities. Laura Secord is a Canadian chocolatier and ice cream company, while LOBLAW COS LTD is a major Canadian food retailer. They are not related as parent or subsidiary companies."
298,Walt Disney,Walt Disney,DISNEY (WALT) CO,0.6356678326868396,Walt Disney | Walt Disney,DISNEY (WALT) CO,Yes,"Both refer to The Walt Disney Company, the entertainment conglomerate known for its media, parks, and consumer products."
